Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities14 May 2022All datapoints provided as of end of last active trading day."2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;123.00;124.00;122.20;122.80;"13/05/2022 16:25";CET;194651;23943617.60
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.118;1.20;1.072;1.152;"13/05/2022 16:18";CET;1339474;1561730.35
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;141.00;141.00;141.00;141.00;"11/05/2022 09:29";CET;40;5640.00
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6.64;6.84;6.64;6.78;"13/05/2022 16:25";CET;277610;1874167.53
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;59.50;64.50;58.65;64.30;"13/05/2022 16:25";CET;926749;57737786.50
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1.595;1.595;1.595;1.595;"13/05/2022 10:18";CET;4340;6922.30
AEGA;NO0010626559;AEGA;"Euronext Expand Oslo";NOK;1.10;1.17;1.10;1.17;"13/05/2022 15:46";CET;134772;155679.704
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;174.80;176.40;167.20;174.60;"13/05/2022 16:25";CET;58810;10161414.80
AGILYX;NO0010872468;AGLX;"Euronext Growth Oslo";NOK;28.00;30.15;27.65;29.70;"13/05/2022 16:25";CET;24833;718833.50
AINMT;NO0010734742;AINMT;"Euronext Expand Oslo";NOK;0.47;0.49;0.444;0.444;"13/05/2022 16:25";CET;128261;58817.068
AIRTHINGS;NO0010895568;AIRX;"Euronext Growth Oslo";NOK;4.955;5.40;4.955;5.34;"13/05/2022 16:25";CET;374194;1919981.505
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;8.50;8.57;8.26;8.29;"13/05/2022 16:25";CET;75191;634717.48
AKER;NO0010234552;AKER;"Oslo Børs";NOK;799.00;814.50;790.50;814.00;"13/05/2022 16:25";CET;96364;77434853.00
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;50.10;50.10;45.80;47.45;"13/05/2022 16:25";CET;37057;1759398.05
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;353.90;361.70;351.70;359.70;"13/05/2022 16:25";CET;670150;240532327.10
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;16.265;18.875;16.265;18.83;"13/05/2022 16:27";CET;1352162;24816326.53
"AKER CLEAN HYDROGE";NO0010936081;ACH;"Euronext Growth Oslo";NOK;4.20;4.60;4.20;4.546;"13/05/2022 16:25";CET;496215;2229057.08
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;18.365;19.96;18.20;19.90;"13/05/2022 16:29";CET;908910;17596374.775
